Case Number,Status,Source,Incident Date,Incident Time,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Lure Animal,Lure Candy,Lure Money,Lure Ride,Lure Other,Lure Other Detail,How Got Away,How Got Away Detail,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Approximate Age 1,Child Approximate Age 2,Child Approximate Age 3,Child Approximate Age 4,Child Approximate Age 5,Child Approximate Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Offender Race 1,Offender Race 2,Offender Race 3,Vehicle Type,Vehicle Color
1260468,Closed,Internet,01/02/16,9:00 PM,Seaview Ave & Grant St,Bridgeport,CT,06610,Fairfield,0,0,0,0,-1,None,Unknown,,551489,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,Unknown,,,Unknown,,,Van,Burgundy
1260531,Closed,Internet,01/05/16,12:00 AM,Russo St & Social St,Providence,RI,02904,Providence,0,0,0,0,-1,None,Other,Walked away,551573,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,,,,,,Hispanic,,,,White
1260532,Closed,Internet,01/04/16,3:20 PM,73rd St & 97th Ave,Kenosha,WI,53142,Kenosha,0,0,0,0,-1,Question,Fought/Broke Free,Ran away,551575,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,40-49,,,Hispanic,,,,
1260612,Closed,Internet,01/04/16,12:00 AM,Roberts St & Indiana Ave,Kansas City,MO,64124,Clay,0,0,0,-1,0,,Ignored/Refused,Broke free; Ran away,551685,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,Truck,White
1260620,Closed,Internet,01/04/16,3:30 PM,Center St,Slatington,PA,18080,Lehigh,0,0,0,0,-1,Directions,Ignored/Refused,,551699,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,Pickup Truck,
1260632,Closed,Internet,01/06/16,5:33 PM,11000 US-36,Marysville,OH,43040,Union,0,0,0,0,-1,None,Ran Away,,551715,551717,,,,,Unknown,Unknown,,,,,Female,Male,,,,,7,10,,,,,Male,,,30-39,,,White,,,Truck,Black
1260634,Closed,Internet,01/07/16,12:00 AM,918 N Main Ave,San Antonio,TX,78212,Bexar,0,0,0,-1,0,,Released,,551718,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,,,,Unknown,,,,Burgundy
1260638,Closed,Internet,01/02/16,8:00 PM,Lomas Blvd NE & San Pedro Dr NE,Albuquerque,NM,87110,Bernalillo,0,0,0,0,-1,None,Released,,551722,,,,,,White,,,,,,Female,,,,,,3,,,,,,Male,,,Unknown,,,Unknown,,,,
1260641,Closed,Internet,01/04/16,3:30 PM,FM 1008 & FM 2797,Dayton,TX,77535,Liberty,0,0,0,0,-1,None,Adult/Child Intervened,,551726,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,30-39,,,White,,,Sport Utility,White
1260689,Closed,Internet,01/02/16,12:00 AM,Unknown,Mountain Home,AR,72653,Baxter,0,0,0,0,-1,None,Unknown,,551798,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,,,,Hispanic,,,,
